"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","Update course","LMS service","2026-08-03","passed","2026-08-03","Update entity","Courses","",""
"","545","Create user","LMS service","2026-08-03","passed","2026-08-03","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","2026-08-03","passed","2026-08-03","Login","Authentication","",""
"","15","Get user me","LMS service","2026-08-03","passed","2026-08-03","Get entity","Users","",""
"","297","Delete file","LMS service","2026-08-03","passed","2026-08-03","Delete entity","Files","",""
"","21","Get exercises","LMS service","2026-08-03","passed","2026-08-03","Get entities","Exercises","",""
"","21","Create file with empty filename","LMS service","2026-08-03","passed","2026-08-03","Validate entity","Files","",""
"","19","Get exercise","LMS service","2026-08-03","passed","2026-08-03","Get entity","Exercises","",""
"","294","Create exercise","LMS service","2026-08-03","passed","2026-08-03","Create entity","Exercises","",""
"","16","Get file","LMS service","2026-08-03","passed","2026-08-03","Get entity","Files","",""
"","36","Create course","LMS service","2026-08-03","passed","2026-08-03","Create entity","Courses","",""
"","554","Create user","LMS service","2026-08-03","passed","2026-08-03","Create entity","Users","",""
"","24","Delete exercise","LMS service","2026-08-03","passed","2026-08-03","Delete entity","Exercises","",""
"","295","Create user","LMS service","2026-08-03","passed","2026-08-03","Create entity","Users","",""
"","30","Get courses","LMS service","2026-08-03","passed","2026-08-03","Get entities","Courses","",""
"","23","Create file","LMS service","2026-08-03","passed","2026-08-03","Create entity","Files","",""
"","269","Create file with empty directory","LMS service","2026-08-03","passed","2026-08-03","Validate entity","Files","",""
"","23","Get file with incorrect file id","LMS service","2026-08-03","passed","2026-08-03","Validate entity","Files","",""
"","24","Update exercise","LMS service","2026-08-03","passed","2026-08-03","Update entity","Exercises","",""
